 Value       Target
    945572.0             0.0831
    946149.0          -100.0000
    946709.0             0.0731
    947311.0          -100.0000
    947832.0             0.0831
    948410.0          -100.0000
    948946.0             0.0831
    949524.0          -100.0000
    950076.0             0.0731
    950664.0          -100.0000
    951214.0             0.0831
    951796.0          -100.0000
    952355.0             0.0731
    952930.0          -100.0000
    953467.0             0.0731
    954051.0          -100.0000
    954616.0             0.0831
    955204.0          -100.0000
    955765.0             0.0731
    956327.0          -100.0000
