File,Frame,X,Y,Z
PreTest_LMTC.c3d,1,-92.715675,-23.585375,-14.642217
-,2,-93.077332,-23.795689,-15.450274
-,3,-93.060715,-24.161619,-16.297764
-,4,-92.953751,-24.635529,-17.026592
-,5,-92.770363,-25.120407,-17.705345
-,6,-92.283455,-25.66194,-18.566963
-,7,-91.478737,-26.571478,-19.321592
-,8,-90.134903,-28.099293,-19.903152
-,9,-88.139648,-30.069748,-20.022799
-,10,-85.303497,-32.108997,-19.595825
-,11,-81.388863,-34.33651,-17.975029
-,12,-76.102768,-36.633324,-15.031341
-,13,-70.222984,-38.243134,-11.198056
-,14,-64.325851,-38.972549,-7.135077
-,15,-58.443279,-38.161488,-3.419183
-,16,-52.833569,-35.648312,0.125599
-,17,-48.248226,-32.417503,2.770136
-,18,-44.476189,-28.408062,4.548029
-,19,-42.126377,-24.998117,4.720778
-,20,-42.434864,-23.058455,1.804873
-,21,-46.321957,-22.520929,-2.045235
-,22,-50.85141,-22.652412,-3.422516
-,23,-54.978546,-24.152849,-3.236583
-,24,-58.435226,-26.250883,-2.541414
-,25,-61.287678,-28.173796,-2.39777
-,26,-63.778389,-29.232868,-3.389509
-,27,-65.911118,-29.413427,-4.9262
-,28,-67.864929,-28.747444,-6.933272
-,29,-70.067589,-27.447874,-8.704838
-,30,-72.176796,-25.839937,-9.9424
-,31,-74.223274,-23.820349,-10.840075
-,32,-75.76091,-22.338131,-11.384335
-,33,-76.959778,-21.965908,-12.041246
-,34,-77.867653,-21.752811,-12.195967
-,35,-78.402901,-22.154072,-12.829132
-,36,-78.668716,-22.755079,-13.054165
-,37,-78.859108,-23.651415,-13.178495
-,38,-79.025955,-24.200012,-13.491751
-,39,-78.619232,-24.922089,-13.66481
-,40,-78.450005,-25.303522,-13.731429
-,41,-78.042885,-25.975246,-14.091135
-,42,-77.757973,-26.18696,-14.199906
-,43,-77.915482,-26.036308,-14.545911
-,44,-78.010971,-25.898048,-15.21726
-,45,-78.224709,-25.685814,-16.052172
-,46,-78.585129,-25.500246,-16.809202
-,47,-78.756981,-25.039177,-17.343645
-,48,-78.784317,-24.750175,-17.504459
-,49,-78.651634,-24.606817,-17.056471
-,50,-78.505707,-24.9366,-16.983999
-,51,-78.752495,-25.558825,-17.295843
-,52,-79.337334,-26.248287,-18.026438
-,53,-79.76696,-26.754351,-18.22331
-,54,-79.810341,-26.736702,-17.478966
-,55,-79.173111,-26.620878,-15.48431
-,56,-78.106979,-27.249666,-13.231205
-,57,-74.592216,-28.852987,-9.753107
-,58,-70.033157,-29.069845,-6.34055
-,59,-67.609512,-25.427341,-6.028506
-,60,-67.437592,-22.005079,-6.588929
-,61,-68.104401,-20.968721,-6.133745
-,62,-68.760063,-19.754536,-5.780745
-,63,-69.822716,-19.125143,-5.972051
-,64,-70.652657,-19.250423,-5.690622
-,65,-71.507111,-19.470673,-5.682894
-,66,-72.285744,-19.210299,-5.716078
-,67,-73.030037,-18.734613,-5.856112
-,68,-73.568771,-18.349962,-5.863691
-,69,-74.248703,-18.006014,-6.079334
-,70,-74.858337,-18.147001,-5.971494
-,71,-75.539803,-18.096174,-5.942595
-,72,-76.181511,-18.337093,-5.980664
-,73,-76.430222,-18.723568,-5.837097
-,74,-76.992058,-18.560686,-5.84726
-,75,-77.534218,-18.06892,-6.015456
-,76,-78.094551,-17.26268,-6.349412
-,77,-78.536232,-16.552099,-6.576509
-,78,-79.144852,-15.96567,-6.655076
-,79,-79.503944,-16.031967,-6.565114
-,80,-80.051056,-16.18124,-6.7811
-,81,-80.243599,-16.381731,-6.593678
-,82,-80.724373,-16.551931,-6.55154
-,83,-81.020058,-16.725962,-6.514066
-,84,-81.535965,-16.77223,-6.626765
-,85,-81.692062,-16.877277,-6.404364
-,86,-81.930984,-16.827129,-6.61481
