File,Frame,X,Y,Z,Reliability
1,0.288893,-0.196413,0.043382,1.14,
-,2,0.288913,-0.208277,0.0433,1.18
-,3,0.289066,-0.220368,0.043068,1.22
-,4,0.289495,-0.232946,0.042352,0.82
-,5,0.290099,-0.245009,0.042178,1.09
-,6,0.290153,-0.257246,0.042196,1.07
-,7,0.289819,-0.269956,0.042062,0.95
-,8,0.289815,-0.282895,0.042029,1.17
-,9,0.289529,-0.296126,0.041847,0.8
-,10,0.289292,-0.308674,0.041942,1.07
-,11,0.288774,-0.320767,0.041655,0.92
-,12,0.28831,-0.331945,0.040745,0.91
-,13,0.287242,-0.341155,0.038634,1.17
-,14,0.286451,-0.348675,0.037105,0.91
-,15,0.285915,-0.355404,0.035213,0.94
-,16,0.285062,-0.361432,0.033169,0.86
-,17,0.284097,-0.366772,0.03038,1.22
-,18,0.283699,-0.371608,0.026358,1.01
-,19,0.28246,-0.375653,0.021112,0.94
-,20,0.27997,-0.370862,0.021728,1.03
-,21,0.278737,-0.352353,0.02935,1.03
-,22,0.277282,-0.329252,0.035661,1.18
-,23,0.276888,-0.302535,0.042224,0.9
-,24,0.27665,-0.275013,0.047519,0.77
-,25,0.276317,-0.2474,0.050614,0.76
-,26,0.27529,-0.219674,0.052408,0.84
-,27,0.274138,-0.192227,0.053119,0.67
-,28,0.273306,-0.164048,0.052834,0.76
-,29,0.272267,-0.134999,0.052692,0.75
-,30,0.271963,-0.10507,0.052348,0.83
-,31,0.271468,-0.074842,0.051779,0.84
-,32,0.271509,-0.043616,0.051248,0.61
-,33,0.271229,-0.01152,0.050667,0.64
-,34,0.270532,0.020846,0.050619,0.76
-,35,0.269722,0.053386,0.050879,0.79
-,36,0.268887,0.086165,0.051337,0.81
-,37,0.26784,0.118847,0.052765,0.98
-,38,0.266287,0.151523,0.054968,0.82
-,39,0.264644,0.184028,0.058222,0.77
-,40,0.262497,0.216415,0.06289,0.78
-,41,0.260259,0.247969,0.068971,0.83
-,42,0.257783,0.278376,0.076761,0.79
-,43,0.25532,0.306903,0.086636,0.75
-,44,0.252525,0.333108,0.098255,0.82
-,45,0.25004,0.356308,0.11069,0.7
-,46,0.248325,0.375959,0.123277,0.89
-,47,0.247921,0.392156,0.134517,0.78
-,48,0.248721,0.404932,0.143701,0.81
-,49,0.250986,0.414424,0.149719,0.75
-,50,0.253827,0.420684,0.153328,0.69
-,51,0.257111,0.422952,0.154298,0.73
-,52,0.261338,0.421849,0.15224,0.75
-,53,0.266288,0.417645,0.147087,0.92
-,54,0.27235,0.40993,0.138556,0.82
-,55,0.279853,0.402203,0.127503,0.82
-,56,0.286969,0.394977,0.116826,0.81
-,57,0.292262,0.391195,0.104288,0.78
-,58,0.294438,0.386911,0.089643,0.75
-,59,0.293167,0.382242,0.076452,0.95
-,60,0.293013,0.374214,0.069065,0.87
-,61,0.296133,0.36413,0.066402,0.95
-,62,0.297297,0.355178,0.062998,0.69
-,63,0.296488,0.346691,0.061418,0.85
-,64,0.297171,0.337979,0.059682,0.84
-,65,0.297606,0.328808,0.058423,0.8
-,66,0.297778,0.319679,0.057214,0.84
-,67,0.298034,0.310226,0.056349,0.87
-,68,0.298177,0.300614,0.055661,0.88
-,69,0.298151,0.290883,0.055157,0.92
-,70,0.298414,0.280951,0.05465,1.24
-,71,0.298326,0.270566,0.054277,1.26
-,72,0.298358,0.260304,0.053717,0.86
-,73,0.29831,0.249766,0.053247,0.89
-,74,0.298599,0.238916,0.052871,0.97
-,75,0.29847,0.227949,0.052373,1.18
-,76,0.298607,0.21669,0.051993,0.96
-,77,0.298509,0.205008,0.051475,0.88
-,78,0.298443,0.193134,0.051019,1.23
-,79,0.298681,0.181346,0.050608,0.91
-,80,0.298497,0.169597,0.050026,0.81
-,81,0.29901,0.157844,0.049513,0.96
-,82,0.298981,0.146052,0.048929,0.88
-,83,0.299065,0.134036,0.048231,0.85
-,84,0.299228,0.122287,0.04791,0.88
-,85,0.299482,0.110557,0.047392,0.89
-,86,0.299584,0.0987,0.046661,0.8
-,87,0.299572,0.086845,0.046105,0.76
-,88,0.299652,0.074809,0.045502,0.72
-,89,0.299572,0.062699,0.044932,0.82
-,90,0.299529,0.050826,0.044394,0.77
-,91,0.299512,0.0393,0.044023,0.76
-,92,0.29963,0.027725,0.043804,0.93
-,93,0.29945,0.017013,0.043671,0.89
-,94,0.299365,0.006157,0.043741,0.91
-,95,0.299321,-0.004383,0.043532,0.93
-,96,0.299429,-0.015064,0.043424,0.87
-,97,0.299437,-0.025597,0.043292,0.93
-,98,0.299489,-0.036236,0.043245,0.89
-,99,0.299476,-0.047028,0.043091,0.98
-,100,0.299532,-0.057815,0.042973,0.88
-,101,0.299581,-0.068853,0.042925,0.9
-,102,0.299281,-0.079823,0.042799,0.98
-,103,0.299428,-0.090884,0.042641,0.93
-,104,0.299385,-0.102138,0.042535,0.93
-,105,0.29947,-0.113622,0.042397,0.91
-,106,0.299464,-0.125067,0.042339,0.91
-,107,0.299708,-0.136565,0.042128,0.96
-,108,0.299752,-0.148342,0.041851,0.96
-,109,0.299921,-0.160489,0.041719,0.96
-,110,0.299993,-0.172877,0.041293,0.82
-,111,0.300027,-0.185151,0.041376,1.16
-,112,0.300073,-0.19749,0.041303,1.15
-,113,0.300198,-0.209833,0.041091,1.13
-,114,0.30047,-0.222355,0.0408,0.95
-,115,0.300451,-0.235044,0.040678,0.83
-,116,0.300422,-0.247745,0.040792,0.9
-,117,0.3005,-0.260779,0.040799,0.89
-,118,0.299949,-0.273566,0.041175,0.96
-,119,0.29965,-0.285936,0.041219,0.94
-,120,0.299148,-0.297256,0.040696,0.95
-,121,0.29856,-0.308036,0.039041,1.08
-,122,0.29772,-0.316612,0.037896,0.85
-,123,-1,,,
-,124,0.295946,-0.329934,0.03493,1.06
-,125,0.294979,-0.336275,0.033267,1.07
-,126,0.293735,-0.341894,0.030079,0.81
-,127,0.292461,-0.347309,0.026129,1.06
-,128,0.291049,-0.352727,0.021164,0.85
-,129,0.289536,-0.352636,0.022095,1.23
-,130,0.288615,-0.343872,0.028465,1.14
-,131,0.288434,-0.332544,0.03349,0.92
-,132,0.288802,-0.317249,0.038471,1.06
-,133,0.289838,-0.300156,0.043001,0.98
-,134,0.29112,-0.28178,0.047188,0.8
-,135,0.291777,-0.262334,0.051518,0.87
-,136,0.292491,-0.242254,0.055888,0.87
-,137,0.292542,-0.222363,0.060224,0.84
-,138,0.291799,-0.202851,0.064328,0.67
-,139,0.290895,-0.184237,0.066885,0.61
-,140,0.288383,-0.166701,0.068563,0.64
-,141,0.285298,-0.150023,0.069079,0.58
-,142,0.282023,-0.134045,0.068185,0.64
-,143,0.278264,-0.118203,0.066968,0.7
-,144,0.274283,-0.102623,0.065062,0.76
-,145,0.270271,-0.086677,0.064015,1.1
-,146,0.265927,-0.070677,0.062656,0.73
-,147,0.261928,-0.054017,0.06182,0.74
-,148,0.257317,-0.036694,0.061807,0.91
-,149,0.253406,-0.019716,0.06194,0.84
-,150,0.250143,-0.002656,0.062091,0.8
-,151,0.247499,0.014687,0.062821,0.88
-,152,0.245696,0.031395,0.063675,0.88
-,153,0.245097,0.047994,0.064338,0.84
-,154,0.244633,0.064804,0.065483,0.89
-,155,0.244825,0.080606,0.066184,0.74
-,156,0.245315,0.096725,0.067385,0.77
-,157,0.245585,0.112477,0.068555,0.84
-,158,0.246092,0.128314,0.070185,0.83
-,159,0.246637,0.144337,0.07251,0.78
-,160,0.247354,0.160032,0.075418,0.91
-,161,0.247402,0.175704,0.078678,0.8
-,162,0.247484,0.19118,0.082272,0.85
-,163,0.24768,0.206216,0.085998,0.93
-,164,0.2474,0.220856,0.090196,1.01
-,165,0.246158,0.234874,0.094422,1.25
-,166,0.245708,0.248368,0.098921,1.25
-,167,0.244651,0.26132,0.103233,0.97
-,168,0.243716,0.273491,0.107635,1.03
-,169,0.242012,0.28463,0.112336,0.87
-,170,0.240826,0.294602,0.117493,0.8
-,171,0.240039,0.303586,0.123488,0.74
-,172,0.239199,0.311399,0.129811,0.94
-,173,0.239044,0.317512,0.135577,0.86
-,174,0.239284,0.322548,0.140646,0.89
-,175,0.240187,0.326376,0.144765,0.79
-,176,0.24111,0.328559,0.148416,0.81
-,177,0.242176,0.329013,0.150688,0.76
-,178,0.243933,0.328152,0.151426,0.76
-,179,0.246279,0.325823,0.151249,0.84
-,180,0.249176,0.321685,0.149578,0.84
-,181,0.252237,0.315321,0.146717,0.69
-,182,0.2559,0.307717,0.142322,0.85
-,183,0.259577,0.298458,0.136121,0.78
-,184,0.265773,0.288342,0.127463,0.8
-,185,0.272977,0.280469,0.116636,0.79
-,186,0.279777,0.274946,0.104049,0.8
-,187,0.282566,0.272028,0.087263,0.77
-,188,0.28142,0.268765,0.070959,0.96
-,189,0.283113,0.261091,0.063515,0.96
-,190,0.285185,0.251234,0.06241,0.91
-,191,0.284867,0.243894,0.058238,0.89
-,192,0.285973,0.235187,0.056075,0.9
-,193,0.286908,0.225918,0.054913,1.12
-,194,0.287287,0.216434,0.05337,1.14
-,195,0.287612,0.206348,0.052302,1.11
-,196,0.287818,0.196168,0.051419,1.2
-,197,0.287904,0.185486,0.050638,1.18
-,198,0.28805,0.17495,0.049982,1.24
-,199,0.288199,0.164281,0.049507,1.21
-,200,0.288133,0.153372,0.048838,1.28
-,201,0.288288,0.142611,0.04832,1.21
-,202,0.288119,0.131761,0.047883,1.06
-,203,0.28822,0.120659,0.047665,1.26
-,204,0.288309,0.109436,0.047373,1.26
-,205,0.288425,0.098128,0.046931,1.26
-,206,0.288267,0.086557,0.046601,1.06
-,207,0.288265,0.074952,0.046303,1.26
-,208,0.288337,0.063568,0.045678,1.02
-,209,0.288501,0.05228,0.045199,1.19
-,210,0.288395,0.041126,0.044803,0.96
-,211,0.288551,0.029951,0.044749,1.23
-,212,0.288512,0.019194,0.044539,1.11
-,213,0.288595,0.008686,0.04432,1.01
-,214,0.288977,-0.00132,0.044032,1.01
-,215,0.288926,-0.011851,0.044084,0.96
-,216,0.288909,-0.022331,0.043884,0.98
-,217,0.288983,-0.032876,0.043888,1.24
-,218,0.289014,-0.043591,0.043596,1.25
-,219,0.289061,-0.054372,0.043568,1.27
-,220,0.288669,-0.065707,0.043191,1.02
-,221,0.288096,-0.076778,0.042864,0.68
-,222,0.288162,-0.08748,0.043197,0.7
-,223,0.288742,-0.098125,0.043324,1.19
